1,1,2024-03-15 10:30:00,"Great wallet, very durable!",5
1,2,2024-03-16 14:45:00,"Nice wallet, but a bit small for my needs.",4
2,3,2024-03-17 18:20:00,"Delicious ice cream, perfect for hot days!",5
2,4,2024-03-18 11:10:00,"Good flavor, but melts too quickly.",3
3,5,2024-03-19 09:15:00,"Excellent laptop, fast and lightweight!",5
3,6,2024-03-20 16:30:00,"Good performance, but battery life could be better.",4
4,7,2024-03-21 13:45:00,"Very comfortable running shoes, great support!",5
4,8,2024-03-22 10:20:00,"Nice shoes, but they run a bit small.",4
5,9,2024-03-23 14:55:00,"Amazing smartphone, great camera quality!",5
5,10,2024-03-24 11:40:00,"Good phone, but a bit pricey for the features.",4
6,11,2024-03-25 17:30:00,"Love this cookbook, recipes are easy to follow!",5
6,12,2024-03-26 12:15:00,"Good variety of recipes, but some ingredients are hard to find.",4
7,13,2024-03-27 09:50:00,"Excellent water bottle, keeps drinks cold for hours!",5
7,14,2024-03-28 15:25:00,"Good quality, but the lid is a bit difficult to clean.",4
8,15,2024-03-29 11:05:00,"Great garden hose, very flexible and durable!",5
8,16,2024-03-30 14:40:00,"Good hose, but tends to kink occasionally.",3
9,17,2024-03-31 10:30:00,"My dog loves this food, great quality!",5
9,18,2024-04-01 16:20:00,"Good dog food, but a bit expensive.",4
10,19,2024-04-02 13:10:00,"Excellent sunglasses, great UV protection!",5
10,20,2024-04-03 11:45:00,"Nice sunglasses, but they scratch easily.",3
11,21,2024-04-04 09:30:00,"Amazing backpack, perfect for hiking trips!",5
11,22,2024-04-05 15:15:00,"Good backpack, but the straps could be more comfortable.",4
12,23,2024-04-06 12:50:00,"Great coffee maker, easy to use and clean!",5
12,24,2024-04-07 10:25:00,"Makes good coffee, but the carafe is fragile.",4
